epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.7653403878211975,0.8405037522315979,9.999999747378752e-05,0.6075049042701721,0.9013978242874146,0.7686855792999268,0.8611111044883728,0.9476394653320312,0.42772191762924194,0.9616519212722778,0.8456549644470215
1,0.8696069121360779,0.9425309300422668,9.999999747378752e-05,0.41004472970962524,0.9577968716621399,0.8627577424049377,0.8879310488700867,0.960433840751648,0.36779311299324036,0.9698275923728943,0.8754863739013672
2,0.8935762047767639,0.9559383392333984,9.999999747378752e-05,0.3594423830509186,0.9673225283622742,0.8869200944900513,0.9061302542686462,0.9665578603744507,0.33041173219680786,0.9719495177268982,0.8988326787948608
3,0.9036433100700378,0.9645287394523621,9.999999747378752e-05,0.32524481415748596,0.9713886976242065,0.8969072103500366,0.9137930870056152,0.9702374935150146,0.3001229763031006,0.9683631658554077,0.9130998849868774
4,0.9098753333091736,0.970058798789978,9.999999747378752e-05,0.2993299067020416,0.9729542136192322,0.9039948582649231,0.9109195470809937,0.973339855670929,0.3066980838775635,0.9774647951126099,0.9001296758651733
5,0.9129913449287415,0.973719596862793,9.999999747378752e-05,0.2830348312854767,0.9760333299636841,0.905283510684967,0.9204980731010437,0.9749100208282471,0.274633526802063,0.968664824962616,0.9221789836883545
6,0.9218600392341614,0.9781796336174011,9.999999747378752e-05,0.260141521692276,0.9779766201972961,0.9155927896499634,0.9214559197425842,0.9764232635498047,0.26561278104782104,0.9725651741027832,0.9195849299430847
7,0.9295302033424377,0.980185329914093,9.999999747378752e-05,0.2487320750951767,0.9791951179504395,0.9249355792999268,0.9224137663841248,0.9781098961830139,0.27103695273399353,0.9791666865348816,0.9143968820571899
8,0.9295302033424377,0.980758547782898,9.999999747378752e-05,0.2421465516090393,0.9798497557640076,0.9242912530899048,0.9281609058380127,0.9789531826972961,0.2425132393836975,0.9664879441261292,0.9351491332054138
9,0.9355225563049316,0.982850193977356,9.999999747378752e-05,0.23043502867221832,0.9816513657569885,0.9307345151901245,0.9252873659133911,0.9795256853103638,0.25233739614486694,0.9766162037849426,0.920881986618042
10,0.9348034262657166,0.9852461814880371,9.999999747378752e-05,0.21662494540214539,0.9829468131065369,0.9284793734550476,0.9339080452919006,0.9807252287864685,0.23469683527946472,0.9717742204666138,0.9377431869506836
11,0.9388782382011414,0.9855953454971313,9.999999747378752e-05,0.2156786173582077,0.9820643067359924,0.9349226951599121,0.9348658919334412,0.9814355373382568,0.23509477078914642,0.9782313108444214,0.9325551390647888
12,0.9424736499786377,0.9862380027770996,9.999999747378752e-05,0.20691640675067902,0.986743688583374,0.9352448582649231,0.938697338104248,0.9820460677146912,0.22709739208221436,0.9770580530166626,0.9390401840209961
13,0.9429529905319214,0.9869961738586426,9.999999747378752e-05,0.2051766961812973,0.9844489693641663,0.938144326210022,0.9329501986503601,0.9819867610931396,0.23591186106204987,0.9847856163978577,0.923475980758667
14,0.9465484023094177,0.9875457882881165,9.999999747378752e-05,0.19964998960494995,0.9874788522720337,0.9400773048400879,0.9339080452919006,0.9824071526527405,0.2310427874326706,0.9848066568374634,0.9247730374336243
15,0.947267472743988,0.989007830619812,9.999999747378752e-05,0.19046065211296082,0.9874915480613708,0.9410437941551208,0.9377394914627075,0.983257532119751,0.21500596404075623,0.9731903672218323,0.9416342377662659
16,0.9506232142448425,0.9893115758895874,9.999999747378752e-05,0.186637282371521,0.9862416386604309,0.9468427896499634,0.9358237385749817,0.9823857545852661,0.2133430540561676,0.9718498587608337,0.9403372406959534
17,0.9518216848373413,0.9897124767303467,9.999999747378752e-05,0.1835743933916092,0.9875713586807251,0.9471649527549744,0.9348658919334412,0.9837896227836609,0.22567787766456604,0.9848275780677795,0.9260700345039368
18,0.9539788961410522,0.990411102771759,9.999999747378752e-05,0.17666743695735931,0.9899057745933533,0.9478092789649963,0.9377394914627075,0.9838489890098572,0.21139155328273773,0.9757412672042847,0.9390401840209961
19,0.9568552374839783,0.9914445281028748,9.999999747378752e-05,0.16899122297763824,0.990274965763092,0.9513530731201172,0.9396551847457886,0.9834713935852051,0.21472330391407013,0.9849315285682678,0.9325551390647888
